Input_FlowID,Input_layer,Input_layer_key,Output_FlowID,TC_target_layer,TC_target_key,value,value_min,value_max,is_residual,process,technology,source
F_collected,Layer 1,BEV,F_dismantled,Layer 2,Motors,0.85,0.7,0.95,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- replace: traction motors come out as units"
F_collected,Layer 1,BEV,F_dismantled,Layer 2,Wiring,0.3,0.15,0.5,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- replace: bulky and copper-rich so worth pulling, but harnesses are threaded through the body and much stays in the hulk"
F_collected,Layer 1,BEV,F_separated_electronics,Layer 2,Motors,0.0,0,0,,dismantling,manual,decision: route does not apply
F_collected,Layer 1,BEV,F_separated_electronics,Layer 2,Wiring,0.0,0,0,,dismantling,manual,decision: this route does not apply here
F_collected,Layer 1,BEV,F_shredded,Layer 2,Motors,0.12,,,1,dismantling,manual,derived: stays in the hulk
F_collected,Layer 1,BEV,F_shredded,Layer 2,Wiring,0.65,,,1,dismantling,manual,derived: what is neither removed nor lost stays in the hulk
F_collected,Layer 1,BEV,F_loss_dismantling,Layer 2,Motors,0.03,0.01,0.05,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- replace: losses during dismantling"
F_collected,Layer 1,BEV,F_loss_dismantling,Layer 2,Wiring,0.05,0.02,0.1,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- replace: losses during dismantling"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,Al,0.1,0.02,0.3,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: aluminium oxidises to slag in a pyro route"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,Co,0.85,0.7,0.95,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: reports to the copper matte"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,Cu,0.9,0.8,0.96,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: winding copper, bound up with steel and magnets"
F_dismantled,Layer 3,Wiring_mixed,F_refined,Layer 4,Cu,0.95,0.9,0.98,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: clean harness copper into a copper smelter"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,Dy,0.1,0,0.6,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: follows Nd"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,Ga,0.05,0,0.2,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: trace metal, incidental recovery"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,Nb,0.05,0,0.2,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: trace metal, incidental recovery"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,Nd,0.1,0,0.6,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: copper smelter sends rare earths to slag; dedicated magnet recovery does not. The range spans both"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,Pr,0.1,0,0.6,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: follows Nd"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,Tb,0.1,0,0.6,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: follows Nd"
F_dismantled,Layer 3,Motors_mixed,F_refined,Layer 4,rest,0.0,0,0,,refining,pyro,decision: unspecified material is not recovered
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,Al,0.9,0.7,0.98,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: a stand-in range so conditioning can be tried. NOT a refining measurement."
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,Co,0.15,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,Cu,0.1,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,Layer 3,Wiring_mixed,F_loss_refining,Layer 4,Cu,0.05,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,Dy,0.9,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,Ga,0.95,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,Nb,0.95,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,Nd,0.9,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,Pr,0.9,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,Tb,0.9,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,Layer 3,Motors_mixed,F_loss_refining,Layer 4,rest,1.0,1,1,,refining,pyro,decision: unspecified material is not recovered
F_shredded,Layer 3,Motors_mixed,F_recovered_shredder,Layer 4,Al,0.5,0.3,0.7,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: aluminium separates reasonably well"
F_shredded,Layer 3,Motors_mixed,F_recovered_shredder,Layer 4,Co,0.15,0.05,0.35,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: largely follows the ferrous fraction"
F_shredded,Layer 3,Motors_mixed,F_recovered_shredder,Layer 4,Cu,0.5,0.3,0.7,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: more of it trapped with the ferrous fraction"
